X,CH1,CH2,
Second,Volt,Volt,
-1.2720000e+00,2.48000e+00,1.20800e+00,
-1.2680000e+00,2.56000e+00,1.17600e+00,
-1.2640001e+00,2.48000e+00,1.19200e+00,
-1.2600000e+00,2.48000e+00,1.17600e+00,
-1.2560000e+00,2.48000e+00,1.19200e+00,
-1.2520000e+00,2.48000e+00,1.17600e+00,
-1.2480000e+00,2.48000e+00,1.19200e+00,
-1.2440000e+00,2.48000e+00,1.17600e+00,
-1.2400000e+00,2.48000e+00,1.23200e+00,
-1.2360001e+00,2.48000e+00,1.16800e+00,
-1.2320000e+00,2.48000e+00,1.19200e+00,
-1.2280000e+00,2.48000e+00,1.18400e+00,
-1.2240000e+00,2.48000e+00,1.18400e+00,
-1.2200000e+00,2.48000e+00,1.20000e+00,
-1.2160000e+00,2.48000e+00,1.19200e+00,
-1.2120000e+00,2.48000e+00,1.18400e+00,
-1.2080001e+00,2.48000e+00,1.19200e+00,
-1.2040000e+00,2.56000e+00,1.18400e+00,
-1.2000000e+00,2.48000e+00,1.18400e+00,
-1.1960000e+00,2.48000e+00,1.19200e+00,
-1.1920000e+00,2.48000e+00,1.19200e+00,
-1.1880000e+00,2.48000e+00,1.17600e+00,
-1.1840000e+00,2.56000e+00,1.18400e+00,
-1.1800001e+00,2.48000e+00,1.20000e+00,
-1.1760000e+00,2.48000e+00,1.17600e+00,
-1.1720001e+00,2.56000e+00,1.20800e+00,
-1.1680000e+00,2.48000e+00,1.18400e+00,
-1.1640000e+00,2.48000e+00,1.20800e+00,
-1.1600000e+00,2.48000e+00,1.19200e+00,
-1.1560000e+00,2.56000e+00,1.15200e+00,
-1.1520001e+00,2.48000e+00,1.22400e+00,
-1.1480000e+00,2.48000e+00,1.18400e+00,
-1.1440001e+00,2.48000e+00,1.19200e+00,
-1.1400000e+00,2.48000e+00,1.17600e+00,
-1.1360000e+00,2.48000e+00,1.19200e+00,
-1.1320000e+00,2.56000e+00,1.17600e+00,
-1.1280000e+00,2.48000e+00,1.18400e+00,
-1.1240000e+00,2.48000e+00,1.20000e+00,
-1.1200000e+00,2.48000e+00,1.18400e+00,
-1.1160001e+00,2.56000e+00,1.20800e+00,
-1.1120000e+00,2.48000e+00,1.19200e+00,
-1.1080000e+00,2.48000e+00,1.17600e+00,
-1.1040000e+00,2.48000e+00,1.20800e+00,
-1.1000000e+00,2.56000e+00,1.18400e+00,
-1.0960000e+00,2.48000e+00,1.19200e+00,
-1.0920000e+00,2.48000e+00,1.18400e+00,
-1.0880001e+00,2.48000e+00,1.19200e+00,
-1.0840000e+00,2.48000e+00,1.18400e+00,
-1.0800000e+00,2.48000e+00,1.19200e+00,
-1.0760000e+00,2.56000e+00,1.18400e+00,
-1.0720000e+00,2.48000e+00,1.20000e+00,
-1.0680000e+00,2.48000e+00,1.17600e+00,
-1.0640000e+00,2.48000e+00,1.17600e+00,
-1.0600001e+00,2.56000e+00,1.20800e+00,
-1.0560000e+00,2.48000e+00,1.19200e+00,
-1.0520000e+00,2.56000e+00,1.17600e+00,
-1.0480000e+00,2.48000e+00,1.19200e+00,
-1.0440000e+00,2.56000e+00,1.17600e+00,
-1.0400000e+00,2.48000e+00,1.19200e+00,
-1.0360000e+00,2.56000e+00,1.17600e+00,
-1.0319999e+00,2.48000e+00,1.19200e+00,
-1.0280000e+00,2.48000e+00,1.18400e+00,
-1.0240000e+00,2.48000e+00,1.18400e+00,
-1.0200000e+00,2.56000e+00,1.20800e+00,
-1.0160000e+00,2.48000e+00,1.19200e+00,
-1.0120000e+00,2.56000e+00,1.18400e+00,
-1.0080000e+00,2.48000e+00,1.19200e+00,
-1.0039999e+00,2.48000e+00,1.18400e+00,
-1.0000000e+00,2.48000e+00,1.20000e+00,
-9.9599999e-01,2.56000e+00,1.17600e+00,
-9.9199998e-01,2.48000e+00,1.18400e+00,
-9.8799998e-01,2.48000e+00,1.20000e+00,
-9.8400003e-01,2.48000e+00,1.18400e+00,
-9.8000002e-01,2.48000e+00,1.20000e+00,
-9.7600001e-01,2.48000e+00,1.19200e+00,
-9.7200000e-01,2.56000e+00,1.18400e+00,
-9.6799999e-01,2.48000e+00,1.20800e+00,
-9.6399999e-01,2.56000e+00,1.15200e+00,
-9.5999998e-01,2.48000e+00,1.17600e+00,
-9.5599997e-01,2.48000e+00,1.20800e+00,
