X,CH1,CH2,
Second,Volt,Volt,
-7.9999995e-01,2.48000e+00,1.09600e+00,
-7.8999996e-01,2.48000e+00,1.12800e+00,
-7.7999997e-01,2.48000e+00,1.11200e+00,
-7.6999998e-01,2.48000e+00,1.09600e+00,
-7.5999999e-01,2.48000e+00,1.11200e+00,
-7.5000000e-01,2.48000e+00,1.08800e+00,
-7.3999989e-01,2.48000e+00,1.09600e+00,
-7.2999990e-01,2.56000e+00,1.11200e+00,
-7.1999991e-01,2.48000e+00,1.05600e+00,
-7.0999992e-01,2.56000e+00,1.15200e+00,
-6.9999993e-01,2.48000e+00,1.11200e+00,
-6.8999994e-01,2.56000e+00,1.08800e+00,
-6.7999995e-01,2.48000e+00,1.08800e+00,
-6.6999996e-01,2.56000e+00,1.12000e+00,
-6.5999997e-01,2.48000e+00,1.11200e+00,
-6.4999998e-01,2.56000e+00,1.09600e+00,
-6.3999999e-01,2.48000e+00,1.11200e+00,
-6.3000000e-01,2.48000e+00,1.09600e+00,
-6.2000000e-01,2.48000e+00,1.11200e+00,
-6.0999990e-01,2.56000e+00,1.09600e+00,
-5.9999990e-01,2.48000e+00,1.11200e+00,
-5.8999991e-01,2.56000e+00,1.08800e+00,
-5.7999992e-01,2.48000e+00,1.11200e+00,
-5.6999993e-01,2.48000e+00,1.09600e+00,
-5.5999994e-01,2.48000e+00,1.11200e+00,
-5.4999995e-01,2.56000e+00,1.09600e+00,
-5.3999996e-01,2.48000e+00,1.09600e+00,
-5.2999997e-01,2.56000e+00,1.11200e+00,
-5.1999998e-01,2.48000e+00,1.09600e+00,
-5.0999999e-01,2.48000e+00,1.15200e+00,
-5.0000000e-01,2.48000e+00,1.12000e+00,
-4.9000004e-01,2.56000e+00,1.08800e+00,
-4.7999993e-01,2.48000e+00,1.09600e+00,
-4.6999994e-01,2.56000e+00,1.12800e+00,
-4.5999995e-01,2.48000e+00,1.11200e+00,
-4.4999996e-01,2.48000e+00,1.09600e+00,
-4.3999997e-01,2.48000e+00,1.09600e+00,
-4.2999998e-01,2.48000e+00,1.12800e+00,
-4.1999999e-01,2.48000e+00,1.11200e+00,
-4.1000000e-01,2.56000e+00,1.09600e+00,
-4.0000001e-01,2.48000e+00,1.09600e+00,
-3.8999996e-01,2.56000e+00,1.12000e+00,
-3.7999997e-01,2.48000e+00,1.11200e+00,
-3.6999997e-01,2.48000e+00,1.09600e+00,
-3.5999998e-01,2.48000e+00,1.09600e+00,
-3.4999999e-01,2.56000e+00,1.15200e+00,
-3.4000000e-01,2.48000e+00,1.11200e+00,
-3.3000001e-01,2.48000e+00,1.08000e+00,
-3.1999996e-01,2.48000e+00,1.09600e+00,
-3.0999997e-01,2.56000e+00,1.11200e+00,
-2.9999998e-01,2.48000e+00,1.11200e+00,
-2.8999999e-01,2.48000e+00,1.09600e+00,
-2.8000000e-01,2.40000e+00,1.11200e+00,
-2.7000001e-01,2.48000e+00,1.08000e+00,
-2.5999996e-01,2.48000e+00,1.14400e+00,
-2.4999997e-01,2.56000e+00,1.09600e+00,
-2.3999998e-01,2.48000e+00,1.09600e+00,
-2.2999999e-01,2.48000e+00,1.12800e+00,
-2.2000000e-01,2.48000e+00,1.12800e+00,
-2.1000001e-01,2.56000e+00,1.09600e+00,
-2.0000002e-01,2.48000e+00,1.12000e+00,
-1.8999997e-01,2.56000e+00,1.08800e+00,
-1.7999998e-01,2.56000e+00,1.09600e+00,
-1.6999999e-01,2.48000e+00,1.11200e+00,
-1.6000000e-01,2.48000e+00,1.12000e+00,
-1.5000001e-01,2.48000e+00,1.09600e+00,
-1.4000002e-01,2.56000e+00,1.11200e+00,
-1.2999997e-01,2.40000e+00,1.08800e+00,
-1.1999997e-01,2.48000e+00,1.11200e+00,
-1.0999998e-01,2.56000e+00,1.09600e+00,
-9.9999987e-02,2.48000e+00,1.11200e+00,
-8.9999996e-02,2.48000e+00,1.09600e+00,
-8.0000006e-02,2.56000e+00,1.12000e+00,
-6.9999956e-02,2.48000e+00,1.08800e+00,
-5.9999965e-02,2.48000e+00,1.12000e+00,
-4.9999975e-02,2.48000e+00,1.09600e+00,
-3.9999984e-02,2.48000e+00,1.11200e+00,
-2.9999996e-02,2.48000e+00,1.09600e+00,
-2.0000005e-02,2.48000e+00,1.11200e+00,
-1.0000015e-02,2.48000e+00,1.09600e+00,
3.5762788e-08,2.56000e+00,1.11200e+00,
1.0000026e-02,-8.80000e-01,9.04000e-01,
2.0000016e-02,-8.80000e-01,8.40000e-01,
3.0000007e-02,-8.00000e-01,1.15200e+00,
3.9999999e-02,-8.80000e-01,1.01600e+00,
4.9999990e-02,-8.00000e-01,8.56000e-01,
6.0000040e-02,-9.60000e-01,9.84000e-01,
7.0000030e-02,-8.00000e-01,8.08000e-01,
8.0000021e-02,-8.00000e-01,9.84000e-01,
9.0000011e-02,-9.60000e-01,7.92000e-01,
1.0000000e-01,-8.00000e-01,9.76000e-01,
1.1000002e-01,-9.60000e-01,7.60000e-01,
1.2000001e-01,-8.00000e-01,9.36000e-01,
1.3000000e-01,-9.60000e-01,7.76000e-01,
1.4000002e-01,-8.00000e-01,9.12000e-01,
1.5000001e-01,-9.60000e-01,8.08000e-01,
1.6000000e-01,-9.60000e-01,9.12000e-01,
1.7000002e-01,-8.00000e-01,7.76000e-01,
1.8000001e-01,-8.80000e-01,7.60000e-01,
1.9000000e-01,-8.00000e-01,1.04000e+00,
1.9999999e-01,-8.00000e-01,8.80000e-01,
2.1000001e-01,-9.60000e-01,7.04000e-01,
2.2000000e-01,-8.80000e-01,8.48000e-01,
2.2999999e-01,-8.00000e-01,7.36000e-01,
2.4000001e-01,-9.60000e-01,8.32000e-01,
2.5000000e-01,-8.00000e-01,6.48000e-01,
2.5999999e-01,-8.00000e-01,8.16000e-01,
2.7000001e-01,-9.60000e-01,6.88000e-01,
2.8000000e-01,-8.80000e-01,8.08000e-01,
2.8999999e-01,-8.00000e-01,6.72000e-01,
3.0000001e-01,-8.80000e-01,1.10400e+00,
3.1000000e-01,-8.00000e-01,6.64000e-01,
3.1999999e-01,-8.00000e-01,7.60000e-01,
3.3000001e-01,-9.60000e-01,6.56000e-01,
3.4000000e-01,-8.80000e-01,7.60000e-01,
3.4999999e-01,-8.00000e-01,6.40000e-01,
3.6000001e-01,-9.60000e-01,7.52000e-01,
3.7000000e-01,-8.00000e-01,6.32000e-01,
3.8000000e-01,-8.00000e-01,5.76000e-01,
3.9000002e-01,-9.60000e-01,7.28000e-01,
4.0000001e-01,-8.00000e-01,7.12000e-01,
4.1000000e-01,-9.60000e-01,5.04000e-01,
4.2000002e-01,-8.80000e-01,7.04000e-01,
4.3000001e-01,-8.00000e-01,5.76000e-01,
4.4000000e-01,-8.00000e-01,6.80000e-01,
4.5000002e-01,-9.60000e-01,5.68000e-01,
4.6000001e-01,-8.00000e-01,7.12000e-01,
4.7000000e-01,-9.60000e-01,4.72000e-01,
4.7999999e-01,-8.00000e-01,6.48000e-01,
4.9000001e-01,-9.60000e-01,5.36000e-01,
5.0000000e-01,-9.60000e-01,6.40000e-01,
5.0999999e-01,-8.00000e-01,5.36000e-01,
5.1999998e-01,-8.00000e-01,6.24000e-01,
5.2999997e-01,-8.80000e-01,4.72000e-01,
5.4000002e-01,-8.00000e-01,5.04000e-01,
5.5000001e-01,-9.60000e-01,6.40000e-01,
5.6000000e-01,-8.80000e-01,5.04000e-01,
5.6999999e-01,-7.20000e-01,6.24000e-01,
5.7999998e-01,-8.00000e-01,4.08000e-01,
5.8999997e-01,-9.60000e-01,5.92000e-01,
6.0000002e-01,-9.60000e-01,5.68000e-01,
6.1000001e-01,-8.00000e-01,4.40000e-01,
6.2000000e-01,-8.00000e-01,5.44000e-01,
6.3000000e-01,-9.60000e-01,4.64000e-01,
6.3999999e-01,-8.00000e-01,5.36000e-01,
6.4999998e-01,-9.60000e-01,3.20000e-01,
6.6000003e-01,-9.60000e-01,5.20000e-01,
6.7000002e-01,-8.00000e-01,4.32000e-01,
6.8000001e-01,-9.60000e-01,5.04000e-01,
6.9000000e-01,-8.00000e-01,4.32000e-01,
6.9999999e-01,-9.60000e-01,5.04000e-01,
7.0999998e-01,-8.00000e-01,2.48000e-01,
7.1999997e-01,-8.80000e-01,5.68000e-01,
7.3000002e-01,-7.20000e-01,3.20000e-01,
7.4000001e-01,-8.00000e-01,4.72000e-01,
7.5000000e-01,-8.80000e-01,4.00000e-01,
7.5999999e-01,-8.80000e-01,4.56000e-01,
7.6999998e-01,-8.00000e-01,3.60000e-01,
7.7999997e-01,-8.00000e-01,4.40000e-01,
7.9000002e-01,-9.60000e-01,3.36000e-01,
8.0000001e-01,-9.60000e-01,4.32000e-01,
8.1000000e-01,-8.00000e-01,3.52000e-01,
8.1999999e-01,-8.80000e-01,4.16000e-01,
8.2999998e-01,-8.00000e-01,3.44000e-01,
8.3999997e-01,-8.00000e-01,4.00000e-01,
8.5000002e-01,-8.80000e-01,3.36000e-01,
8.6000001e-01,-9.60000e-01,3.36000e-01,
8.7000000e-01,-8.00000e-01,4.08000e-01,
8.8000000e-01,-8.00000e-01,3.84000e-01,
8.8999999e-01,-8.80000e-01,3.20000e-01,
8.9999998e-01,-8.00000e-01,3.68000e-01,
9.1000003e-01,-9.60000e-01,2.96000e-01,
9.2000002e-01,-8.80000e-01,3.68000e-01,
9.3000001e-01,-8.00000e-01,2.80000e-01,
9.4000000e-01,-8.00000e-01,3.44000e-01,
9.4999999e-01,-9.60000e-01,2.88000e-01,
9.5999998e-01,-8.00000e-01,3.36000e-01,
