X,CH1,CH2,
Second,Volt,Volt,
-4.6000001e-01,-9.40000e-01,0.00000e+00,
-4.5600003e-01,-8.80000e-01,0.00000e+00,
-4.5200002e-01,-9.60000e-01,-4.00000e-02,
-4.4800001e-01,-9.20000e-01,0.00000e+00,
-4.4400004e-01,-7.60000e-01,0.00000e+00,
-4.4000003e-01,-8.60000e-01,-4.00000e-02,
-4.3600002e-01,-9.40000e-01,4.00000e-02,
-4.3200001e-01,-8.60000e-01,0.00000e+00,
-4.2800003e-01,-7.60000e-01,0.00000e+00,
-4.2400002e-01,-8.00000e-01,0.00000e+00,
-4.2000002e-01,-9.60000e-01,0.00000e+00,
-4.1600001e-01,-9.60000e-01,0.00000e+00,
-4.1200003e-01,-7.80000e-01,0.00000e+00,
-4.0800002e-01,-7.80000e-01,0.00000e+00,
-4.0400001e-01,-9.20000e-01,0.00000e+00,
-4.0000001e-01,-9.40000e-01,0.00000e+00,
-3.9600003e-01,-7.60000e-01,0.00000e+00,
-3.9200002e-01,-7.60000e-01,0.00000e+00,
-3.8800001e-01,-9.20000e-01,0.00000e+00,
-3.8400003e-01,-9.00000e-01,0.00000e+00,
-3.8000003e-01,-1.00000e+00,0.00000e+00,
-3.7600002e-01,-9.00000e-01,0.00000e+00,
-3.7200001e-01,-7.60000e-01,0.00000e+00,
-3.6800003e-01,-8.40000e-01,0.00000e+00,
-3.6400002e-01,-9.40000e-01,0.00000e+00,
-3.6000001e-01,-7.80000e-01,0.00000e+00,
-3.5600001e-01,-9.20000e-01,-4.00000e-02,
-3.5200003e-01,-8.60000e-01,0.00000e+00,
-3.4800002e-01,-9.40000e-01,0.00000e+00,
-3.4400001e-01,-9.40000e-01,0.00000e+00,
-3.4000000e-01,-7.80000e-01,0.00000e+00,
-3.3600003e-01,-8.00000e-01,0.00000e+00,
-3.3200002e-01,-9.20000e-01,0.00000e+00,
-3.2800001e-01,-9.20000e-01,0.00000e+00,
-3.2400000e-01,-8.20000e-01,0.00000e+00,
-3.2000002e-01,-7.60000e-01,0.00000e+00,
-3.1600001e-01,-9.20000e-01,-4.00000e-02,
-3.1200001e-01,-9.80000e-01,0.00000e+00,
-3.0800003e-01,-8.80000e-01,0.00000e+00,
-3.0400002e-01,-9.00000e-01,0.00000e+00,
-3.0000001e-01,-7.80000e-01,0.00000e+00,
-2.9600000e-01,-9.40000e-01,0.00000e+00,
-2.9200003e-01,-8.60000e-01,-4.00000e-02,
-2.8800002e-01,-9.20000e-01,0.00000e+00,
-2.8400001e-01,-7.60000e-01,0.00000e+00,
-2.8000000e-01,-8.60000e-01,0.00000e+00,
-2.7600002e-01,-9.60000e-01,0.00000e+00,
-2.7200001e-01,-1.00000e+00,0.00000e+00,
-2.6800001e-01,-7.60000e-01,0.00000e+00,
-2.6400000e-01,-8.20000e-01,0.00000e+00,
-2.6000002e-01,-9.40000e-01,-4.00000e-02,
-2.5600001e-01,-9.40000e-01,0.00000e+00,
-2.5200000e-01,-8.00000e-01,0.00000e+00,
-2.4800001e-01,-8.00000e-01,0.00000e+00,
-2.4400002e-01,-9.40000e-01,0.00000e+00,
-2.4000001e-01,-9.40000e-01,0.00000e+00,
-2.3600002e-01,-8.20000e-01,-4.00000e-02,
-2.3200001e-01,-7.80000e-01,0.00000e+00,
-2.2800002e-01,-9.00000e-01,-4.00000e-02,
-2.2400001e-01,-9.20000e-01,0.00000e+00,
-2.2000001e-01,-8.40000e-01,-4.00000e-02,
-2.1600001e-01,-7.60000e-01,0.00000e+00,
-2.1200001e-01,-9.20000e-01,0.00000e+00,
-2.0800000e-01,-8.40000e-01,0.00000e+00,
-2.0400001e-01,-9.60000e-01,0.00000e+00,
-2.0000000e-01,-9.20000e-01,0.00000e+00,
-1.9600001e-01,-8.00000e-01,0.00000e+00,
-1.9200002e-01,-8.20000e-01,0.00000e+00,
-1.8800001e-01,-9.20000e-01,0.00000e+00,
-1.8400002e-01,-9.40000e-01,0.00000e+00,
-1.8000001e-01,-7.80000e-01,0.00000e+00,
-1.7600001e-01,-8.20000e-01,0.00000e+00,
-1.7200001e-01,-9.40000e-01,-4.00000e-02,
-1.6800001e-01,-1.00000e+00,0.00000e+00,
-1.6400000e-01,-8.40000e-01,0.00000e+00,
-1.6000001e-01,-7.60000e-01,0.00000e+00,
-1.5600000e-01,-9.20000e-01,0.00000e+00,
-1.5200001e-01,-9.40000e-01,0.00000e+00,
-1.4800000e-01,-8.20000e-01,4.00000e-02,
-1.4400001e-01,-8.00000e-01,0.00000e+00,
-1.4000000e-01,-9.20000e-01,0.00000e+00,
-1.3600001e-01,-8.80000e-01,0.00000e+00,
-1.3200000e-01,-9.40000e-01,0.00000e+00,
-1.2800001e-01,-9.40000e-01,0.00000e+00,
-1.2400001e-01,-7.60000e-01,0.00000e+00,
-1.2000000e-01,-8.40000e-01,0.00000e+00,
-1.1600000e-01,-9.20000e-01,0.00000e+00,
-1.1200000e-01,-8.80000e-01,0.00000e+00,
-1.0800000e-01,-7.80000e-01,0.00000e+00,
-1.0400000e-01,-8.00000e-01,0.00000e+00,
-1.0000000e-01,-9.80000e-01,0.00000e+00,
-9.6000008e-02,-9.60000e-01,0.00000e+00,
-9.2000008e-02,-7.80000e-01,0.00000e+00,
-8.8000007e-02,-8.20000e-01,0.00000e+00,
-8.4000006e-02,-9.20000e-01,-4.00000e-02,
-8.0000006e-02,-9.40000e-01,0.00000e+00,
-7.6000005e-02,-8.00000e-01,4.00000e-02,
-7.2000004e-02,-7.80000e-01,0.00000e+00,
-6.8000004e-02,-9.20000e-01,-4.00000e-02,
-6.4000003e-02,-9.00000e-01,0.00000e+00,
-6.0000002e-02,-9.80000e-01,0.00000e+00,
-5.6000002e-02,-9.20000e-01,0.00000e+00,
-5.2000001e-02,-7.60000e-01,0.00000e+00,
-4.8000004e-02,-8.60000e-01,0.00000e+00,
-4.4000003e-02,-9.40000e-01,0.00000e+00,
-4.0000003e-02,-8.00000e-01,0.00000e+00,
-3.6000002e-02,-9.20000e-01,4.00000e-02,
-3.2000002e-02,-8.60000e-01,0.00000e+00,
-2.8000001e-02,-9.40000e-01,0.00000e+00,
-2.4000002e-02,-9.60000e-01,0.00000e+00,
