X,CH1,
Second,Volt,
8.7999985e-02,6.00000e-01,
9.1999993e-02,8.40000e-01,
9.5999971e-02,8.40000e-01,
9.9999979e-02,5.20000e-01,
1.0399999e-01,5.20000e-01,
1.0800000e-01,7.20000e-01,
1.1199997e-01,9.20000e-01,
1.1599998e-01,6.00000e-01,
1.1999999e-01,8.40000e-01,
1.2399997e-01,6.00000e-01,
1.2799998e-01,6.00000e-01,
1.3199998e-01,8.40000e-01,
1.3599999e-01,7.60000e-01,
1.3999997e-01,6.00000e-01,
1.4399998e-01,5.60000e-01,
1.4799999e-01,8.00000e-01,
1.5200000e-01,7.60000e-01,
1.5599997e-01,6.40000e-01,
1.5999998e-01,6.80000e-01,
1.6399999e-01,8.80000e-01,
1.6800000e-01,1.12000e+00,
1.7199998e-01,6.40000e-01,
1.7599998e-01,9.60000e-01,
1.7999999e-01,6.40000e-01,
1.8399999e-01,6.40000e-01,
1.8799998e-01,8.40000e-01,
1.9199999e-01,7.20000e-01,
1.9599998e-01,9.20000e-01,
1.9999999e-01,8.80000e-01,
2.0399998e-01,6.00000e-01,
2.0799999e-01,6.40000e-01,
2.1199998e-01,1.04000e+00,
2.1599999e-01,1.04000e+00,
2.1999998e-01,7.20000e-01,
2.2399999e-01,1.20000e+00,
2.2799999e-01,6.80000e-01,
2.3199999e-01,6.80000e-01,
2.3599999e-01,1.00000e+00,
2.3999998e-01,9.60000e-01,
2.4399999e-01,7.60000e-01,
2.4799998e-01,7.20000e-01,
2.5200000e-01,8.80000e-01,
2.5599998e-01,8.80000e-01,
2.5999999e-01,6.80000e-01,
2.6400000e-01,6.80000e-01,
2.6800001e-01,8.40000e-01,
2.7199998e-01,7.60000e-01,
2.7599999e-01,9.60000e-01,
2.8000000e-01,1.08000e+00,
2.8400001e-01,6.80000e-01,
2.8799999e-01,1.00000e+00,
2.9200000e-01,8.00000e-01,
2.9600000e-01,9.60000e-01,
3.0000001e-01,7.20000e-01,
3.0399999e-01,8.80000e-01,
3.0800000e-01,7.20000e-01,
3.1200001e-01,7.60000e-01,
3.1599998e-01,9.20000e-01,
3.1999999e-01,8.00000e-01,
3.2400000e-01,1.24000e+00,
3.2800001e-01,1.24000e+00,
3.3199999e-01,7.60000e-01,
3.3600000e-01,8.00000e-01,
3.4000000e-01,1.00000e+00,
3.4399998e-01,1.04000e+00,
3.4799999e-01,7.60000e-01,
3.5200000e-01,7.60000e-01,
3.5600001e-01,1.12000e+00,
3.5999998e-01,1.16000e+00,
3.6399999e-01,8.40000e-01,
3.6800000e-01,1.32000e+00,
3.7200001e-01,7.60000e-01,
3.7599999e-01,1.08000e+00,
3.8000000e-01,8.40000e-01,
3.8400000e-01,1.00000e+00,
3.8799998e-01,8.00000e-01,
3.9199999e-01,7.60000e-01,
3.9600000e-01,9.60000e-01,
4.0000001e-01,9.60000e-01,
4.0399998e-01,8.40000e-01,
4.0799999e-01,1.20000e+00,
4.1200000e-01,8.00000e-01,
4.1600001e-01,1.16000e+00,
4.1999999e-01,8.80000e-01,
4.2399999e-01,8.40000e-01,
4.2800000e-01,1.04000e+00,
4.3200001e-01,9.60000e-01,
4.3599999e-01,8.40000e-01,
4.4000000e-01,8.80000e-01,
4.4400001e-01,1.36000e+00,
4.4800001e-01,1.32000e+00,
4.5199999e-01,8.00000e-01,
4.5600000e-01,8.80000e-01,
4.6000001e-01,1.08000e+00,
4.6399999e-01,1.08000e+00,
4.6799999e-01,8.40000e-01,
4.7200000e-01,8.80000e-01,
4.7600001e-01,1.20000e+00,
4.7999999e-01,1.36000e+00,
4.8400000e-01,8.40000e-01,
4.8800001e-01,8.80000e-01,
4.9200001e-01,1.16000e+00,
4.9599999e-01,8.80000e-01,
5.0000000e-01,1.08000e+00,
5.0400001e-01,8.40000e-01,
5.0800002e-01,1.04000e+00,
5.1200002e-01,9.20000e-01,
5.1600003e-01,1.12000e+00,
5.1999998e-01,1.24000e+00,
5.2399999e-01,8.40000e-01,
5.2800000e-01,1.16000e+00,
5.3200001e-01,8.80000e-01,
5.3600001e-01,1.08000e+00,
5.4000002e-01,8.80000e-01,
5.4400003e-01,9.20000e-01,
5.4799998e-01,1.12000e+00,
5.5199999e-01,1.40000e+00,
5.5599999e-01,8.80000e-01,
5.6000000e-01,9.20000e-01,
5.6400001e-01,1.16000e+00,
5.6800002e-01,1.12000e+00,
5.7200003e-01,8.80000e-01,
5.7600003e-01,9.60000e-01,
5.7999998e-01,1.28000e+00,
5.8399999e-01,1.40000e+00,
5.8800000e-01,9.20000e-01,
5.9200001e-01,1.20000e+00,
5.9600002e-01,9.60000e-01,
6.0000002e-01,1.12000e+00,
6.0400003e-01,8.80000e-01,
6.0800004e-01,9.20000e-01,
6.1199999e-01,1.08000e+00,
6.1600000e-01,1.28000e+00,
6.2000000e-01,9.20000e-01,
6.2400001e-01,9.20000e-01,
6.2800002e-01,1.20000e+00,
6.3200003e-01,1.16000e+00,
6.3600004e-01,9.20000e-01,
6.3999999e-01,9.60000e-01,
6.4399999e-01,1.16000e+00,
6.4800000e-01,1.40000e+00,
6.5200001e-01,8.80000e-01,
6.5600002e-01,1.00000e+00,
6.6000003e-01,1.20000e+00,
6.6400003e-01,1.20000e+00,
6.6800004e-01,9.20000e-01,
6.7199999e-01,1.32000e+00,
6.7600000e-01,1.00000e+00,
6.8000001e-01,1.40000e+00,
6.8400002e-01,9.60000e-01,
6.8800002e-01,1.24000e+00,
6.9200003e-01,1.00000e+00,
6.9599998e-01,1.16000e+00,
6.9999999e-01,9.20000e-01,
7.0400000e-01,1.00000e+00,
7.0800000e-01,1.20000e+00,
7.1200001e-01,1.32000e+00,
7.1600002e-01,9.20000e-01,
7.2000003e-01,1.00000e+00,
7.2400004e-01,1.20000e+00,
7.2799999e-01,1.00000e+00,
7.3199999e-01,1.12000e+00,
7.3600000e-01,1.04000e+00,
7.4000001e-01,1.48000e+00,
7.4400002e-01,9.20000e-01,
7.4800003e-01,1.20000e+00,
7.5200003e-01,1.24000e+00,
7.5599998e-01,9.60000e-01,
7.5999999e-01,9.60000e-01,
7.6400000e-01,1.36000e+00,
7.6800001e-01,1.44000e+00,
7.7200001e-01,9.60000e-01,
7.7600002e-01,1.28000e+00,
7.8000003e-01,1.04000e+00,
7.8400004e-01,1.16000e+00,
7.8799999e-01,9.60000e-01,
7.9200000e-01,1.04000e+00,
7.9600000e-01,1.24000e+00,
8.0000001e-01,1.28000e+00,
8.0400002e-01,9.60000e-01,
8.0800003e-01,1.20000e+00,
8.1200004e-01,1.00000e+00,
8.1600004e-01,1.16000e+00,
8.1999999e-01,1.04000e+00,
8.2400000e-01,1.48000e+00,
8.2800001e-01,9.60000e-01,
8.3200002e-01,1.04000e+00,
8.3600003e-01,1.24000e+00,
8.4000003e-01,1.28000e+00,
8.4400004e-01,1.00000e+00,
8.4799999e-01,1.08000e+00,
8.5200000e-01,1.36000e+00,
8.5600001e-01,1.44000e+00,
8.6000001e-01,1.04000e+00,
8.6400002e-01,1.20000e+00,
8.6800003e-01,1.00000e+00,
8.7200004e-01,1.00000e+00,
8.7600005e-01,1.20000e+00,
8.8000000e-01,1.28000e+00,
8.8400000e-01,1.00000e+00,
8.8800001e-01,1.04000e+00,
8.9200002e-01,1.36000e+00,
8.9600003e-01,1.04000e+00,
9.0000004e-01,1.20000e+00,
9.0400004e-01,1.08000e+00,
9.0799999e-01,1.44000e+00,
9.1200000e-01,1.48000e+00,
9.1600001e-01,1.04000e+00,
9.2000002e-01,1.28000e+00,
9.2400002e-01,1.00000e+00,
9.2800003e-01,1.04000e+00,
9.3199998e-01,1.40000e+00,
9.3599999e-01,1.44000e+00,
9.4000000e-01,1.04000e+00,
9.4400001e-01,1.40000e+00,
9.4800001e-01,1.08000e+00,
9.5200002e-01,1.24000e+00,
9.5600003e-01,1.00000e+00,
9.5999998e-01,1.32000e+00,
9.6399999e-01,1.00000e+00,
9.6799999e-01,1.04000e+00,
9.7200000e-01,1.36000e+00,
9.7600001e-01,1.04000e+00,
9.8000002e-01,1.24000e+00,
9.8400003e-01,1.08000e+00,
9.8800004e-01,1.56000e+00,
9.9199998e-01,1.52000e+00,
9.9599999e-01,1.04000e+00,
1.0000000e+00,1.24000e+00,
1.0040001e+00,1.20000e-01,
1.0080000e+00,4.80000e-01,
1.0120001e+00,1.20000e-01,
1.0160000e+00,4.80000e-01,
1.0200000e+00,-2.40000e-01,
1.0240000e+00,-8.00000e-02,
1.0280000e+00,3.20000e-01,
1.0320001e+00,3.60000e-01,
1.0360000e+00,4.00000e-02,
1.0400001e+00,1.20000e-01,
1.0440000e+00,-1.60000e-01,
1.0480001e+00,-8.00000e-02,
1.0520000e+00,1.60000e-01,
1.0560000e+00,-8.00000e-02,
1.0600001e+00,4.00000e-02,
1.0640000e+00,4.00000e-02,
1.0680001e+00,-2.00000e-01,
1.0720000e+00,-2.00000e-01,
1.0760001e+00,-4.40000e-01,
1.0800000e+00,-2.80000e-01,
1.0840000e+00,-6.00000e-01,
1.0880001e+00,-3.60000e-01,
1.0920000e+00,-6.00000e-01,
1.0960001e+00,-6.00000e-01,
